category,subCategory,question,anaswer
Insurance,Term Insurance,What is Term Insurance Claim Process,"In case the life assured policyholder passes away, their dependents will be required to file a claim in order to receive the amount which the insurer has assured to pay on such an event. The claim process is usually quite simple and easy to follow in most cases. Given below is a step-by-step guide to file your claim for a term insurance policy:

Step 1 - Inform the Insurer About The Claim:

The initial step to filing a claim involves intimating your insurance company regarding the claim. To do this, you must contact your insurance provider via any available channel i.e. via phone, email or by visiting the branch. Only when you have informed the insurer about the claim will the claim settlement process be initiated.

Step 2 - Submit Required Documents:

Once you have informed the insurer about the claim, you will be required to submit the necessary documents to support your claim. Documents usually required for supporting a claim include the original insurance policy document, proof towards the claim, deceased life assured's death certificate and medical records, apart from some other documents. Some insurers may also ask you to submit additional documents to further verify the claim.

Step 3 - Claim Settlement and Payout:

The choice about the claim and subsequent settlement is the last step in the claim procedure. Once the insurer has received the necessary documents, the claims department will review the claim and the supporting documentation before making a settlement decision. If everything is in order, the insurance company may honour the claim; but, if there is a contradiction between the claim and the supporting documentation, the claim may be rejected."
Insurance,Term Insurance,What is Term Insurance Renewal Process,"When your term insurance policy is about to expire, make sure you get it renewed on time. Term insurance policies can now be easily renewed online with just a few clicks. Here are the basic steps involved in the renewal process. This process may be different for different insurers.

Review your policy: The first step of the renewal process of to review the existing insurance policy that you have. This will give you a chance to review the cover and discounts that your policy provides and make any changes as are necessary. Since many of us may not use our insurance cover for a long time, it is wise to make changes to your cover with time as your priorities change.

Provide policy details : Visit the insurance provider's websit and click on the policy renewal tab. Once you click on the tab, you will be asked to provide your policy details such as the policy number, date of birth, name, etc. after this step, you will be asked to confirm the details you have just provided.

Make the payment: The last step of the renewal process is to make the payment on the policy. Nowadays, one can make the payment for policy renewal online via a number of channels such as by cheque, by credit card/debit card, vi an ATM, via SMS, via online banking, via mobile wallets, bank auto-debit facility, bank collection centres, or at the branch office itself."
Insurance,Term Insurance,What Factors affect term insurance Premium,"When it comes to term insurance, there are several factors which affect the premiums which the insurer quotes on your policy. These factors are:

Age:Your age plays a major role in the premium you pay on your policy. The younger you are, the lower your premiums are likely to be and the older you are, the higher your premiums will be. It is always advised to purchase a life insurance policy when you are young.
Your family's medical history:If your family has a medical history of any critical or life-threatening illness/condition like cancer, diabetes, etc., then you will be considered a higher risk as compared to someone who does not have a family history of any major life-threatening disease/condition. A high-risk applicant will be charged higher premiums automatically.
Your health:Insurers will also look at the state of your health at the time you apply for the policy and also in the past. If you have been suffering from any chronic illness in the past or your current medical condition indicates any future health issues like high blood pressure, your policy premium rates might be affected. Applicants who are generally healthy often have to pay lower premiums in comparison.
Weight:People who are obese or overweight on the weight to height ratio scale may be asked to shell out more in terms of policy premiums as they carry greater chances of medical issues in the future.
Smokers:It is commonly advertised by insurance providers that non-smokers are eligible for special discounted premium rates on policies as compared to smokers. This is because smokers may be at a higher risk of cancer or other smoking related health hazards as compared to a non-smoker.
Alcohol consumption:Like smoking, alcohol consumption can also lead to health problems. Which is why insurers will enquire about your lifestyle habits during application as heavy alcohol consumption is linked to several health complications, increasing the applicant's risk.
Lifestyle habits:Those who often indulge in high-risk activities for leisure such as skydiving, bungee jumping, paragliding, hang-gliding or any other form of adventure sporting activity are seen as high-risk applicants and may be required to pay higher premiums. However, there are several insurers who have designed policies specially covering these high-adrenaline activities.
Applicant's gender:Insurance providers often advertise lower premium rates for women applicants as compared to men. This may be due to the fact that women usually have longer lifespans as compared to men."
Insurance,Term Insurance,How To Choose The Right tenure for Your Term Plan,"One of the main reason why term plans are preferred over other types of insurance plans is because it provides cover at affordable prices for a duration that the customer needs. However, when it comes to term insurance, how does one decide the term for which the plan should be taken? The right duration for a term plan will differ from individual to individual, depending on their unique financial situation. When deciding the term of a term insurance plan, you must consider the financial liabilities which your family may have to face if you pass away and how long it would take for those liabilities to be paid off. Some of the factors you must consider when choosing the term of your term plan are:

LiabilitiesLiabilities can come in many forms, such as loans or mortgages and must be paid in or before time to avoid penalty. When you choose the term for your term insurance, it is advisable to consider the time it would be required to pay off such liabilities. For instance, if you have a home loan which will be fully repaid in a period of 20 years, then your policy term must be a minimum of 20 years.
Commitments or Dependents If you have dependents like young children who are financially dependent on you, the term of your plan must ideally be the duration (no. of years) till your can children support themselves. You must also take into account milestone life events like weddings, or starting a career when deciding the term of your policy. Ideally these events must fall within the term of the policy so that in case you may not be around to financially provide for your family, their needs are still taken care of.
AffordabilityLong term plans are significantly more expensive than short term insurance plans. When choosing the term for your plan, you must first consider whether you are financially comfortable paying the premiums over a longer period of time or not. Long term plans provide cover for a longer duration but are more expensive. Short term plans are relatively more affordable and also provide cover for a sizeable number of years."
Insurance,Term Insurance,What is a Term Insurance rider ?,"Term Insurance rider is the extra cover a policyholder can opt for with their base term insurance policy to extend their coverage benefits. A policyholder can buy a term insurance rider by paying an additional premium amount.

Types of Term Insurance Riders
Most term insurance plans come with riders, which differ in terms of cost as well as terms and conditions. To understand types of term insurance riders in detail, read below:

1. Accidental Death Benefit Rider: With an accidental death benefit rider, one can avail an additional sum assured in case the insured dies in the misfortunate event of an accident. The additional sum assured is calculated on the basis of the original sum assured and may differ from one company to another. The premium remains fixed for this rider, for the entire policy term. However, some plans may put a cap on the maximum sum assured that can be availed.

2. Accelerated Death Benefit Rider: The family of a person suffering from a terminal illness like cancer, asthma, kidney failure, lung damage, etc. ends up paying a huge amount for medical expenses incurred due to the treatment. But with accelerated death benefit riders, the family receives a part of the sum assured in advance, which can be of great help in difficult times.

3. Accidental Disability Benefit Rider: In the unfortunate event of an accident, if the insured suffers from partial or permanent disability, then they can be benefited from this rider. Most of the time, term insurance plans pay you for 5-10 years after the accident causing disability, if you are covered under accidental disability benefit rider. Often coupled with accidental death riders, this rider can be treated as a source of income.

4. Critical Illness Benefit Rider: With a critical illness benefit rider, the insured can receive a lump sum amount on diagnosis of listed critical illnesses as specified in the policy document. Generally, term insurance plans cover you for cancer, stroke, paralysis, kidney failure, heart attack, major organ transplant, amongst others. The policy can either be continued or terminated after diagnosis of a critical illness, as per the terms and conditions stated in the policy.

5. Waiver of Premium Rider: As the name suggests, it waves off the future premiums in case the policyholder is not able to pay future premiums due to disability or loss of income. It can be said that this way you can ensure your premium payments until the policy gets expired. In case the insured does not have a waiver of premium rider, and suffers from a disability or is unable to pay the required premium due to some other reason, then the policy will expire and no death benefit will be paid as the premiums were not paid.

6. Income Benefit Rider: This is another useful rider that can be purchased by paying an extra premium at the time of policy purchase. Income benefit rider can be treated as a source of income in the misfortunate event of the death of the policyholder. With this rider, the family of the policyholder can avail additional income every year along with the regular sum assured, for up to 5-10 years.

"
Insurance,Life Insurance,What are Life Insurance Policies?,"Life insurance policy is an agreement between insured and insurer, where insured is supposed to pay a fixed amount at regular intervals as premium and receive a fixed amount after a fixed duration as promised by the insurer. Life insurance policies are of two types, pure protection and Savings plan.

Pure protection plan provides lump sum payment to the family in the absence of the life insured. While savings plan helps in planning long-term goals and comes with additional benefits.

Types of Life Insurance Policies
Term Life Insurance Plans
Term Return of Premium (TROP)
 Whole life Insurance
Endowment Policies
Unit Linked Insurance Plans(ULIP)
Child Plan
Money Back Policies
Whole Life Policy
Annuity/Pension Plans
1. Term  Life Insurance: This is the type of life insurance policy that comes with a death benefit which is payable only in case the policyholder dies before the term of the plan. The nominee can make death claim after the demise of the policyholder. But if the policyholder survives the policy term, then death claim cannot be made, and the policy coverage will cease without any maturity value. These policies can be supported with riders for additional coverage such as accidental death benefit, critical illness benefits, and others.

2. TROP: This is a particular type of term life insurance that comes with the additional advantage of survival benefit where all the premiums paid by the insured will be paid back with GST if the insured survives the entire policy term.

3. Whole Life Insurance: This policy covers the policyholder untill 100 years of age and ensures financial coverage throughout the policy term.

4.  Endowment Policies: This type of insurance plan is a combo of guaranteed returns and life coverage. This type of plans offers lump sum payout on maturity and enables the nominee to make death claim in case of untimely death of the policyholder. Some of the endowment plans also come with benefit of bonus over the policy coverage.

5.  ULIP: The Unit Linked Insurance Plans are wealth builder plans that offer the benefit of both an investment plan and an insurance plan. Customers can invest in various funds, such as equity, hybrid, bonds, and others, as per their risk appetite and receive market-linked returns from investments. These plans come with a five-year lock-in period, loyalty addition, and the option of partial withdrawal and fund switching.

6.  Money Bank Policies: This type of insurance plan offers a percentage of the assured sum of the policy at regular intervals and returns the remaining portion of the corpus along with bonus, if the policyholder survives the policy term. The entire sum assured will be returned in case of unfortunate event before the policy term. The policy also offers maturity benefits with lump sum payments.

7. Child Plan: Ensures financial security for the child by fulfilling the future goals of the child using the return on the investment. These policies offer life cover to the nominee and funds the balance premium even in the absence of the policyholder.

8.  Whole Life Policy: This type of insurance policy offers 99 years coverage with family protection for an extended duration. This type of plan is best suited for policyholders with dependents and offers lifetime protection to the policyholder and their children.

9.  Pension or Retirement or Annuity Plans: This is a wealth building plan for non-working years of the policyholder and offers financial protection to the family members as well. This plan comes with various withdrawal options such as lump sum payment, regular income, or both.

Some other types of Life Insurance policies also include:

Children Life Insurance Policy: This life insurance plan is a combination of savings and investment plan specially designed to meet the financial needs of the children in the future. This plan comes with intermediate withdrawal or provision of withdrawal after the child reaches adulthood.
 Group Life Insurance: This type of life insurance policy is offered to the employees by employers, bank customers, NGOs, non-banking financial organizations, professional groups, and microfinance institutions. This plan offers financial support to the employees and to their family members in case of the untimely demise of the employee. Some group insurance plans come with critical illness coverage, and disability along with outstanding loan coverage for debtors.
"
Insurance,Life Insurance,Comparison of Different Types of Life Insurance Plans,"Life insurance has changed from being a luxury to a necessity, and it now plays a crucial role in how smoothly our lives go. Although the country's life insurance penetration has not yet kept pace with its population, hundreds of new people enrol in various life insurance plans every day. Selecting the appropriate sort of insurance is one of the most difficult aspects of life insurance, and with so many alternatives available from different firms, it wouldn't be difficult for those who are unfamiliar with them to become perplexed.

The table below will highlight and compares key aspects related to the different types of life insurance policies in India:

Type of Plan 

Overview 

Policy Term 

Maturity Benefit 

Term Plan 

Life insurance at a fixed price for a specified period 

5 years to 85 years 

Maturity Benefit is only accessible if the Return of Premium option is selected 

Endowment Plan 

Protection plus returns that are assured to reach 6.5% 

5 years to 35 years 

Yes, when the policy's term expires 

ULIP 

Investments across a range of asset classes plus protection 

10 years to 20 years 

Yes, when the policy's term expires 

Annuity/Pension Plan 

Monthly pension to cover post-retirement costs 

Entire life 

Regular earnings until survival 

Whole Life Insurance 

Protection for lifetime, or coverage under the policy until you attain the age of 100 years 

Until you attain the age of 100 years 

When you attain the age of 100 years 

Term Return of Premium Plan 

At the conclusion of the policy term, paid premiums are returned 

5 years to 65 years 

Benefits of survival on maturity 

*Note – The term varies from plan to plan, with the numbers mentioned above reflecting an overall average.

"
Insurance,Life Insurance,How to Save Tax with a Life Insurance Policy?,"Being insured in today’s date is of utmost importance. Even if your partner has a life insurance policy and a group policy from his/her company, it is important that you purchase a comprehensive life cover for yourself. Covering your life will not reduce the emotional distress that you may be going through, but a life insurance policy will ensure that you have adequate financial backup during times of your need. The insurance market is currently flooded with insurers selling a horde of insurance products and services. While selecting a particular life insurance policy, it is imperative to understand the tax implications of the same.

Section 80C of the Income Tax Act Deduction: If you are currently paying a premium towards your life insurance policy or for the life of your parents, children, or spouse, you will be eligible for a deduction under Section 80C of the Income Tax Act. Irrespective of whether your child is a minor or not, the deduction shall be applicable. However, in order to be able to claim the said deduction, the premium amount (being paid by the policyholder) must not be more than 10% of the sum assured amount, in case the policy was issued after 1 April 2012.
Section 10(10D) Maturity Deduction: If the premium amount (being paid by the policyholder) does not surpass 10% of the sum assured for plans that have been issued post 1 April 2012 and 20% of the sum assured for plans that have been issued before 1 April 2012, then the maturity amount that the policyholder receives at the end of the policy term will be completely exempt from tax as per Section 10(10D) of the Income Tax Act, 1961.
GST on Life Insurance Premium
Life insurance is not exempted from GST (Goods and Services Tax). The introduction of GST will have an impact on the life insurance industry. The insurance premiums will most likely increase from 15% to 18% in the insurance sector. If you are paying premiums for health, car, and life insurance, you will be affected heavily.

When life insurance companies calculate the premium for each individual, there are certain factors that are taken into consideration. Since life insurance is a form of investment, even low premiums have the potential to yield relatively high returns over a period of time. However, availing a life insurance policy with a low premium may not always be possible as you will have to meet some requirements as laid down by the insurer. With that said, some individuals tend to avail similar life insurance policies as others at significantly low costs. The reason for this is that these individuals have made the right life choices that have enabled them to avail lower premiums."
Insurance,Life Insurance,Documents Required for Buying a Life Insurance Policy?,"Following are the documents you will require to purchase a life insurance policy:

Passport-sized photographs.
Age Proof (Driving License / PAN Card / Passport / SSC Certificate).
Proof of Residence (Passport / Telephone Bill / Electricity Bill / Ration Card / Water Bill / Voter ID).
Identity Proof (Ration Card / Voter ID / PAN Card / Passport / Driving License).
Proof of Income (Pension Pass Book / Income Tax Returns / Form 16 / Salary Slip)."
Insurance,Life Insurance,How Does Life Insurance Work?,"Here are the details regarding how life insurance works:

Select the life insurance that suits your needs
Select the premium payment option, either annual or monthly, depending on terms and conditions
Life should be informed, and claim should be filed by the nominee in case death of the insured
Relevant documents should be submitted to file the claim, such as death certificate, identity proof, etc.
The life cover amount is paid to the nominee only after successful verification of the documents"
Insurance,Life Insurance,How to Claim Life Insurance?,"Life insurance claims are made under two circumstances:

Death of the life insured
Maturity of the life insurance policy
Rider Claims
Life insurance Claims in Case of Death
Here, nominees or close relatives of the deceased make the claim (or assignees if the policy has been assigned) in the following way:

Inform the insurer as soon as possible with details such as time of death, place of death and cause of death.
Submit the relevant documents to the insurer. This will include:
The death certificate of the deceased person along with the claim form as provided by the company.
The policy in its original form as this is a legal document and proof of an insurance agreement that covered the life of the deceased.
Discharge form which has to be signed with witnesses.
If the policy was assigned, the assignee will have to provide the deed.
If a claim is made by someone other than the nominee or assignee, the person making the claim will have to submit legal proof of his/her title.
If required, post-mortem reports and hospital and attending doctors’ reports will also have to be submitted.
In cases involving police inquiries, an inquest report will have to be submitted.
While these outline the standard set of documents required to process a claim, other evidence may be required such as an employer’s certificate or any other forms or reports that will help resolve any issues thrown up during an insurer’s claim verification or investigative processes.

Maturity of the life insurance policy: While claiming maturity amount the policyholder is approached by the insurance company in advance with the bank discharge form. This form should be filled in properly and should be submitted to the bank along with all the supporting documents. Under this claim process, the insurance company will provide the sum assured along with the bonus on maturity of the insurance plan.

Rider Claims: These are additional benefits that can be availed by the policyholder by paying extra premium with the basic plan and each rider plan has separate claim procedures. The process of death claim settlement is applicable for accidental death, premium waiver, etc., rider plans. While for other rider options, policyholders need to submit a dully signed claim form along with the policy copy."
Insurance,Life Insurance,What are the Documents Required for Initiating Claiming Procedures?,"The following are the documents required for initiating claiming procedures:

Post-mortem reports
Original policy certificate
Death certificate issued by the local authority
FIR (First Information Report)
Claim form which dully filled and signed by the applicant
Bank statement
Cancelled cheque
KYC documents of beneficiary, such as copy of address proof and photo ID proof
Summary of hospital discharge
Legal proof of the person making the claim in case he or she is not an assignee or nominee
"
Insurance,Life Insurance,Rules for Beneficiaries Claiming Life Insurance,"When a policyholder’s beneficiary or nominee is claiming life insurance, he or she will be required to follow certain rules. The nominee will have to file a death claim in order to procure the death benefit. If you have a physical insurance policy, you can take a claim intimation or a notification form from your life insurance provider. If you have an online policy, you can apply for a form online.

Your claim intimation will need to comprise elements such as policy number, name of the policyholder, place of death, name of the insured, name of the claimant, etc.
The nominee will first have to fill a few death claim forms and also provide some proof of death. Once the form is filed with the life insurance company, then it is established that the company has got a death claim.
Next, the nominee will need to assemble all the appropriate documents that serve as proof.
Then, the nominee will need to furnish these documents to the company for the claim settlement process.
Once the forms and documents are submitted, the company will verify everything and then make a decision about if the claim should be settled or not."
Insurance,Life Insurance,What are the benefits of a Life Insurance Policy?,"Life Insurance policies offer several different benefits to individuals and some of them are mentioned below:

Risk Cover: Since uncertainties are unpredictable and may cause problems to an individual and his/her family at any time, availing a life insurance policy will ensure that your family and dependents continue to enjoy a quality lifestyle in case of your unforeseen and accidental death.
Comprehensive Plan for Different Stages of Life: Not only does life insurance offer financial support in case of the policyholders’ unforeseen and accidental death, but also serves as a long-term investment in the sense that it encourages you to lay down your objectives, whether it is the education of your children, their marriage, constructing the home of your dreams, or even planning for a peaceful retired life. The planning will be done based on your risk appetite and life stage. Most conventional life insurance plans, such as traditional endowment plans, provide specific maturity benefits and built-in guarantees via a number of product options like Guaranteed Maturity Values, Guaranteed Cash Values, Money Back, etc.
Cover for Increasing Health Expenses: Whether it is through stand-alone insurance policies or through riders, all life insurance providers offer financial cover against hospitalisation expenses and critical illnesses. Since health expenses are increasing constantly, the need for health insurance policies has increased too, as it ensures that the policyholder will have minimal medical costs to deal with.
Promotes Savings in the Long Run: Since life insurance policies are long-term agreements wherein the policyholder is required to make a fixed periodical payment, it helps the policyholder inculcate the habit of savings.Saving money regularly over a relatively long period of time helps in building a good corpus which will in turn help in meeting your financial requirements at different stages of life.
Profitable and Secure Long-Term Investment: The insurance industry is highly regulated. The Insurance Regulatory and Development Authority of India has implemented several regulations through which the money of the policyholder is ensured to be safe with the stakeholders, which means that all the money you invest in your life insurance policy will be the responsibility of the stakeholders of the company through which you avail your policy. Since life insurance is a long-term savings product, it also ensures that the policyholder focuses on long-term returns rather than focusing on risky investment decisions that could provide short-term profits.
Guaranteed Income via Annuities: When it comes to planning for retirement, there are few instruments as effective as life insurance policies. Since you will be saving money over a period of time, life insurance policies will help in providing a steady source of income after you have retired from your professional life.
Growth via Dividends: Conventional life insurance policies provide customers with an opportunity to take part in economic growth, while taking no investment risk whatsoever. While the policyholder splits the investment income through yearly announcements of bonuses/ dividends, the policyholder will earn maturity benefits in addition to contributing to economic growth.
Loan Facility: People who obtain life insurance plans will have the option of borrowing money against it, which may assist them to cover unforeseen expenses as they progress through life without jeopardising the policy's benefits.
Redemption of Mortgage: The finest tool for covering loans and mortgages taken out by the policyholder is a life insurance policy. The insurance can be used to pay off the loan or mortgage if there is ever an unanticipated circumstance that prevents the policyholder from being able to repay his or her loan or mortgage. In this case, the grieving family members will not be responsible for repayment.
Tax Benefits: Life insurance policies offer attractive tax benefits and help you save a significant amount of money which would otherwise be spent on taxes.
"
Insurance,Life Insurance,What’s the Average Cost of a Life Insurance Plan and what Affects the Price?,"policyholder splits the investment income through yearly announcements of bonuses/ dividends, the policyholder will earn maturity benefits in addition to contributing to economic growth.
Loan Facility: People who obtain life insurance plans will have the option of borrowing money against it, which may assist them to cover unforeseen expenses as they progress through life without jeopardising the policy's benefits.
Redemption of Mortgage: The finest tool for covering loans and mortgages taken out by the policyholder is a life insurance policy. The insurance can be used to pay off the loan or mortgage if there is ever an unanticipated circumstance that prevents the policyholder from being able to repay his or her loan or mortgage. In this case, the grieving family members will not be responsible for repayment.
Tax Benefits: Life insurance policies offer attractive tax benefits and help you save a significant amount of money which would otherwise be spent on taxes.
What’s the Average Cost of a Life Insurance Plan and what Affects the Price?
Life insurance policies are known for insuring the life of the insured and also for providing a lump sum amount to the insured’s family after the former (the insured) passes away. The insurance market is flooded with numerous insurance policies offered by various insurance providers. Hence, choosing a life insurance policy that best suits one’s needs has become a convenient process.

However, before investing in a life insurance policy, it is important to analyse the cost and one’s needs, and invest accordingly.

Factors Affecting Life Insurance Policy Premiums:

The following are the factors affecting life insurance policy premiums:

If an individual is overweight or obese, he/she will be required to pay an extra an premium for his/her life insurance policy.
If an individual is part of a risky occupation like race car driving, insurance companies are typically sceptical towards such professions because of their high risk. Hence the premiums are high.
If an individual is a smoker, his/her risks are increased, and hence, he/she will be required to pay extra premiums towards the life insurance policy.
If an individual is a heavy drinker, he/she will be required to pay extra premiums."
Insurance,Life Insurance,Factors to Consider While Calculating the Premium?,"Following are the factors that are taken into consideration by life insurance companies for the calculation of premiums:

Age
Gender
Health records
Medical history
Smoking
Drinking
Type of policy
Profession
Lifestyle choices
Obesity
"
Insurance,Life Insurance,Life Insurance Premium Calculation,"Once the insurance company has taken the aforementioned factors into consideration, it will determine the amount of premium applicable to an individual, making it essential for you to ensure that you lead a healthy lifestyle and make the right choices in order to avail the best possible rates.

The premium charged on your life insurance policy is the amount of money levied by insurance providers for coverage. The premium charged by each company may vary, making it important for you to compare different policies to find the one that best suits your requirements. However, there may be times when the quote for a premium may differ from the premium that is actually charged as it will depend on the manner in which the premium is computed.

Mathematical calculations and statistics done by the insurance providers' underwriting department will determine the premium charged to an individual. In most cases, the statistical data regarding the health, age and life history of an individual are taken into consideration when computing the premium. For instance, a youngster driving a fancy sports car will likely have to pay a higher insurance premium in consideration of a middle-aged individual who drives a sedan. The underwriting process is applicable to all individuals who wish to avail life insurance, and it entails investigation of filial illnesses, analysis of reports such as motor vehicle reports and medical information bureau.

Once the underwriting department of your insurance provider has gathered all your information and analysed it, an actuary will scrutinise it further to determine your risk to the insurance company. The actuary will also forecast how likely you are to make a claim on your policy, and the higher your chances of making a claim, the higher your premium payment will be.The actuary will also peruse mathematical information after which he / she will compile ‘mortality and sickness’ tables based on which potential losses you will incur due to illnesses and death will be noted. These tables are used by actuaries to create models that ascertain how likely an individual is to contract illnesses or die. The premium charged to you will be determined by these results.

Grace Period in Life Insurance
Here are the details regarding grace period in life insurance:

In case the policyholder fails to pay premium on time, grace period allows them to clear the due
Grace period is of 30 days for life insurance plan during which premium can be paid
Time period of grace varies in some life insurance plans
The benefits of life insurance plan remain active during the grace period
Cash Value of Life Insurance Plans
The following are some of the details of cash value of life insurance plans:

Share of your plan that earns interest and makes the fund available for borrowing or withdrawal
This cash value can be used for various purposes, such as a loan source or for planning premium payment
Cash value helps in wealth building and adds savings to your life cover
 Cash value divides your premium into two parts:
o   One portion helps in wealth creation and earns interest

o   While the other portion helps in covering the cost of financial security

Once enough cash value has been accumulated it can be received at the time of maturity or apply for loan in case of emergency
"
Insurance,Life Insurance,What are the Late Charges on Life Insurance Premiums?,"Here are some details regarding late charges on life insurance premiums:

Policyholders will need to pay penalties on late charges on life insurance premiums
The penalty amount varies depending on policy and the insurer
To revive the policy through ‘reinstatement’, policyholders need to pay all the outstanding premiums with applicable interest rates will be applicable
Late payment charges also depend on the duration for which premium payment is due
 Life insurance plan can be revived within five years of last premium paying date"
Insurance,Life Insurance,How Can You Avoid Paying Late Fees in Life Insurance?,"The following are some of the significant points that you should remember to avoid paying late fees in life insurance:

Select auto-debit option so that you do not miss out on premium payments
Select reminder option before premium payment date to avoid delayed payment
Keep track of the premium payment reminders
Opt for yearly premium payment instead of monthly payments to avoid missing out on regular payments
Life Insurance Exclusion
The exclusions under life insurance plans may differ from one policy to another. However, there are certain exclusions that almost all policies agree with. Mentioned below are some important ones:

Death caused while performing criminal or unlawful activities
Death caused by man-made disasters like war, riot, etc.
Suicide or any self-inflicted injury
Death caused while participating in adventure sports or any dangerous activities like bungee jumping, rock climbing, etc.
Death from HIV or any other sexually transmitted diseases
Death or harm caused by indulging in illegal intoxicants
Death caused during the waiting period is not covered by life insurance policies"
